geoid,index,latitude,longitude,area_in_m,confidence,geometry,plus_code,taxable,tax
171534,171534,5.75417062,-0.23021817,159.9985,0.8907,"POLYGON ((-0.230170216150678 5.75410329458028, -0.230263099637457 5.75414462495992, -0.230271191984663 5.75412638046444, -0.230303285159928 5.75414066096471, -0.230258720816352 5.75424113290301, -0.2301337441479 5.75418552200738, -0.230170216150678 5.75410329458028))",6CQXQQ39+MW7R,1,0
112517,112517,5.754536,-0.23024842,10.0375,0.7149,"POLYGON ((-0.230264594767618 5.75452170752256, -0.23025314720255 5.75455707577523, -0.23023227183014 5.75455029746723, -0.230243719396015 5.75451492921555, -0.230264594767618 5.75452170752256))",6CQXQQ39+RW6C,1,0
172821,172821,5.75468489,-0.23181723,7.9047,0.7015,"POLYGON ((-0.23183016127723 5.75467247395829, -0.231830040466921 5.75469743220054, -0.231804296105142 5.75469730718553, -0.231804416916515 5.75467234894361, -0.23183016127723 5.75467247395829))",6CQXQQ39+V7F9,1,0
145968,145968,5.756039,-0.22785499,67.1072,0.831,"POLYGON ((-0.227844735751351 5.75598767864313, -0.227906847695607 5.75603258899134, -0.227865234210376 5.75609032515862, -0.227803122267666 5.7560454148045, -0.227844735751351 5.75598767864313))",6CQXQQ4C+CV6G,1,0
232315,232315,5.7563463,-0.22890479,30.0115,0.8082,"POLYGON ((-0.228939133762514 5.75634007372079, -0.22891110997333 5.7563806735374, -0.228870453932744 5.75635252131976, -0.228898477722422 5.75631192150572, -0.228939133762514 5.75634007372079))",6CQXQQ4C+GCQR,1,0
177934,177934,5.7570832,-0.22773805,63.1917,0.7836,"POLYGON ((-0.2277932 5.7570401, -0.2277137 5.7571488, -0.2276829 5.7571263, -0.2277624 5.7570176, -0.2277932 5.7570401))",6CQXQQ4C+RWJ7,1,0
151691,151691,5.75957953,-0.22406175,48.7336,0.789,"POLYGON ((-0.224046598785498 5.75953376027951, -0.224108644659155 5.75959046063577, -0.22407690517424 5.75962530292385, -0.224014859303272 5.7595686025639, -0.224046598785498 5.75953376027951))",6CQXQQ5G+R9P2,1,0
53835,53835,5.75987196,-0.22439087,43.0148,0.8349,"POLYGON ((-0.224390663037972 5.75982896925268, -0.224431465015677 5.75985800046414, -0.224391069463381 5.75991495506503, -0.224350267486992 5.75988592385022, -0.224390663037972 5.75982896925268))",6CQXQQ5G+W6XV,1,0
217480,217480,5.75998715,-0.22397931,40.6637,0.7271,"POLYGON ((-0.223933858246502 5.75998062146733, -0.223956117442501 5.75994745258165, -0.224024760946486 5.75999366482602, -0.224002501749597 5.76002683371502, -0.223933858246502 5.75998062146733))",6CQXQQ5G+XCRG,1,0
192079,192079,5.76003502,-0.22436046,28.8452,0.8586,"POLYGON ((-0.224342854742056 5.76000553119583, -0.224387991701207 5.76001452839422, -0.224378062936282 5.76006449723186, -0.224332925974071 5.76005550003097, -0.224342854742056 5.76000553119583))",6CQXQQ6G+276F,1,0
944,944,5.76291088,-0.22384263,32.4073,0.7871,"POLYGON ((-0.223822076194657 5.7628797170562, -0.223878752775443 5.76290158411003, -0.22386318625226 5.76294205842859, -0.22380650966948 5.76292019137145, -0.223822076194657 5.7628797170562))",6CQXQQ7G+5F7C,1,0
70605,70605,5.76295006,-0.22031444,20.8093,0.8325,"POLYGON ((-0.22033725025322 5.76293178516176, -0.220329250167228 5.76297527516483, -0.220291631840232 5.76296833324963, -0.220299631928581 5.76292484324843, -0.22033725025322 5.76293178516176))",6CQXQQ7H+5VM5,1,0
110835,110835,5.76307245,-0.21876258,199.9701,0.8361,"POLYGON ((-0.218739845368092 5.76298015105052, -0.218835716817449 5.76301185691203, -0.218785315755837 5.76316474149585, -0.218689444291669 5.76313303561514, -0.218739845368092 5.76298015105052))",6CQXQQ7J+6FHW,1,0
45754,45754,5.76328834,-0.21863827,17.3738,0.7287,"POLYGON ((-0.218616908387442 5.76326984740712, -0.218664539461898 5.7632780009206, -0.218659623472409 5.7633068100784, -0.218611992395868 5.76329865656334, -0.218616908387442 5.76326984740712))",6CQXQQ7J+8G9G,1,0
